"trailnumber","trailname","subsectionname","date","wday","max.camera","yday","max.count","subsectionF","month","day","year","week","precipitation_in","daily_aqi_value","dailymeanpm25concentration","temp_max_f","temp_min_f","parkinglot","trailclass","open_for_motor_vehicles","dirtbikes","atvs","hiking","pack_saddle","bicycle","total_traveltime","total_miles","parkinglotsize","motorized","dirtbike","sidebyside","totallength_miles"
513,"Bridger Ridge","Bridger Ridge - All",2021-07-21,4,8,202,10,"Bridger Ridge - All",7,21,2021,29,0.119999997317791,66,19.2999992370605,86,57,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-08-04,4,9,216,10,"Bridger Ridge - All",8,4,2021,31,0,102,36.0999984741211,84,56,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-08-09,2,6,221,10,"Bridger Ridge - All",8,9,2021,32,0.119999997317791,35,8.5,86,43,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-08-15,1,8,227,10,"Bridger Ridge - All",8,15,2021,33,0,156,65.6999969482422,88,53,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-08-27,6,4,239,10,"Bridger Ridge - All",8,27,2021,35,0,67,19.8999996185303,70,49,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-08-29,1,31,241,40,"Bridger Ridge - All",8,29,2021,35,0,25,6.09999990463257,76,43,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-09-03,6,6,246,10,"Bridger Ridge - All",9,3,2021,36,0,55,14.1999998092651,69,47,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-09-08,4,7,251,10,"Bridger Ridge - All",9,8,2021,36,0,61,16.8999996185303,85,53,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-09-10,6,4,253,10,"Bridger Ridge - All",9,10,2021,37,0,63,17.8999996185303,84,50,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-09-23,5,8,266,10,"Bridger Ridge - All",9,23,2021,38,0,51,12.1999998092651,76,42,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
