"yday","subsectionname","trailname","trailnumber","timeframe","wday","max.count","subsectionF"
77,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-03-18,"Thu",NA,"S Fork Brackett Creek"
78,"East Bridger South","East Bridger South",538,2021-03-19,"Fri",NA,"East Bridger South"
79,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-03-20,"Sat",NA,"Ross Pass to Sacagawea Pass"
80,"Raptor View","Raptor View",530,2021-03-21,"Sun",NA,"Raptor View"
81,"Upper Brackett Creek","Upper Brackett Creek",526,2021-03-22,"Mon",NA,"Upper Brackett Creek"
82,"Truman to Jones","Bridger Foothills",534,2021-03-23,"Tue",NA,"Truman to Jones"
90,"Middle Cottonwood","Middle Cottonwood",586,2021-03-31,"Wed",NA,"Middle Cottonwood"
91,"East Bridger North","East Bridger North",539,2021-04-01,"Thu",NA,"East Bridger North"
92,"Truman Gulch","Truman Gulch",535,2021-04-02,"Fri",NA,"Truman Gulch"
93,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-04-03,"Sat",NA,"Middle Cottonwood to Bostwick"
94,"North Cottonwood Access","North Cottonwood Access",546,2021-04-04,"Sun",NA,"North Cottonwood Access"
95,"New World Gulch","New World Gulch",50,2021-04-05,"Mon",NA,"New World Gulch"
96,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-04-06,"Tue",NA,"North Cottonwood to Johnson Canyon"
97,"Bridger","Bridger Ridge",513,2021-04-07,"Wed",NA,"Bridger"
98,"Corbly Gulch","Corbly Gulch",544,2021-04-08,"Thu",NA,"Corbly Gulch"
99,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-04-09,"Fri",NA,"Felix Canyon Rd"
100,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-04-10,"Sat",NA,"Sypes to Middle Cottonwood"
101,"Bostwick to Truman","Bridger Foothills",534,2021-04-11,"Sun",NA,"Bostwick to Truman"
102,"Baldy to Bridger","Bridger Ridge",513,2021-04-12,"Mon",NA,"Baldy to Bridger"
103,"Fairy Creek","Fairy Creek",500,2021-04-13,"Tue",NA,"Fairy Creek"
104,"Fairy Lakeshore","Fairy Lakeshore",499,2021-04-14,"Wed",NA,"Fairy Lakeshore"
105,"Jones to Ross Pass","Bridger Foothills",534,2021-04-15,"Thu",NA,"Jones to Ross Pass"
106,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-04-16,"Fri",NA,"Sacagawea Peak to Sacagawea Pass"
107,"Ross Pass","Ross Pass",551,2021-04-17,"Sat",NA,"Ross Pass"
108,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-04-18,"Sun",NA,"Fairy Lake Shortcut"
109,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-04-19,"Mon",NA,"Johnson Canyon Jeep Trail"
110,"Sacagawea Pass","Sacagawea Pass",518,2021-04-20,"Tue",NA,"Sacagawea Pass"
111,"Lower Shafthouse","Shafthouse Hill",540,2021-04-21,"Wed",NA,"Lower Shafthouse"
112,"North Cottonwood to Ridge","North Cottonwood",545,2021-04-22,"Thu",NA,"North Cottonwood to Ridge"
113,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-04-23,"Fri",NA,"Ross Pass to Sacagawea Peak"
114,"Bridger to Ross Pass","Bridger Ridge",513,2021-04-24,"Sat",NA,"Bridger to Ross Pass"
115,"Carroll Creek","Carroll Creek",527,2021-04-25,"Sun",NA,"Carroll Creek"
116,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-04-26,"Mon",NA,"Flathead Pass Rd"
117,"Upper Shafthouse","Shafthouse Hill",540,2021-04-27,"Tue",NA,"Upper Shafthouse"
118,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-04-28,"Wed",NA,"S Fork Brackett Creek"
119,"East Bridger South","East Bridger South",538,2021-04-29,"Thu",NA,"East Bridger South"
120,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-04-30,"Fri",NA,"Ross Pass to Sacagawea Pass"
121,"Raptor View","Raptor View",530,2021-05-01,"Sat",NA,"Raptor View"
122,"Upper Brackett Creek","Upper Brackett Creek",526,2021-05-02,"Sun",NA,"Upper Brackett Creek"
123,"Truman to Jones","Bridger Foothills",534,2021-05-03,"Mon",NA,"Truman to Jones"
132,"East Bridger North","East Bridger North",539,2021-05-12,"Wed",NA,"East Bridger North"
134,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-05-14,"Fri",NA,"Middle Cottonwood to Bostwick"
135,"North Cottonwood Access","North Cottonwood Access",546,2021-05-15,"Sat",NA,"North Cottonwood Access"
136,"New World Gulch","New World Gulch",50,2021-05-16,"Sun",NA,"New World Gulch"
137,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-05-17,"Mon",NA,"North Cottonwood to Johnson Canyon"
138,"Bridger","Bridger Ridge",513,2021-05-18,"Tue",NA,"Bridger"
140,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-05-20,"Thu",NA,"Felix Canyon Rd"
141,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-05-21,"Fri",NA,"Sypes to Middle Cottonwood"
142,"Bostwick to Truman","Bridger Foothills",534,2021-05-22,"Sat",NA,"Bostwick to Truman"
143,"Baldy to Bridger","Bridger Ridge",513,2021-05-23,"Sun",NA,"Baldy to Bridger"
144,"Fairy Creek","Fairy Creek",500,2021-05-24,"Mon",NA,"Fairy Creek"
145,"Fairy Lakeshore","Fairy Lakeshore",499,2021-05-25,"Tue",NA,"Fairy Lakeshore"
146,"Jones to Ross Pass","Bridger Foothills",534,2021-05-26,"Wed",NA,"Jones to Ross Pass"
147,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-05-27,"Thu",NA,"Sacagawea Peak to Sacagawea Pass"
148,"Ross Pass","Ross Pass",551,2021-05-28,"Fri",NA,"Ross Pass"
149,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-05-29,"Sat",NA,"Fairy Lake Shortcut"
150,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-05-30,"Sun",NA,"Johnson Canyon Jeep Trail"
151,"Sacagawea Pass","Sacagawea Pass",518,2021-05-31,"Mon",NA,"Sacagawea Pass"
152,"Lower Shafthouse","Shafthouse Hill",540,2021-06-01,"Tue",NA,"Lower Shafthouse"
153,"North Cottonwood to Ridge","North Cottonwood",545,2021-06-02,"Wed",NA,"North Cottonwood to Ridge"
154,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-06-03,"Thu",NA,"Ross Pass to Sacagawea Peak"
155,"Bridger to Ross Pass","Bridger Ridge",513,2021-06-04,"Fri",NA,"Bridger to Ross Pass"
156,"Carroll Creek","Carroll Creek",527,2021-06-05,"Sat",NA,"Carroll Creek"
157,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-06-06,"Sun",NA,"Flathead Pass Rd"
158,"Upper Shafthouse","Shafthouse Hill",540,2021-06-07,"Mon",NA,"Upper Shafthouse"
159,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-06-08,"Tue",NA,"S Fork Brackett Creek"
160,"East Bridger South","East Bridger South",538,2021-06-09,"Wed",NA,"East Bridger South"
161,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-06-10,"Thu",NA,"Ross Pass to Sacagawea Pass"
162,"Raptor View","Raptor View",530,2021-06-11,"Fri",NA,"Raptor View"
163,"Upper Brackett Creek","Upper Brackett Creek",526,2021-06-12,"Sat",NA,"Upper Brackett Creek"
164,"Truman to Jones","Bridger Foothills",534,2021-06-13,"Sun",NA,"Truman to Jones"
176,"North Cottonwood Access","North Cottonwood Access",546,2021-06-25,"Fri",NA,"North Cottonwood Access"
177,"New World Gulch","New World Gulch",50,2021-06-26,"Sat",NA,"New World Gulch"
178,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-06-27,"Sun",NA,"North Cottonwood to Johnson Canyon"
179,"Bridger","Bridger Ridge",513,2021-06-28,"Mon",NA,"Bridger"
181,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-06-30,"Wed",NA,"Felix Canyon Rd"
182,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-07-01,"Thu",NA,"Sypes to Middle Cottonwood"
183,"Bostwick to Truman","Bridger Foothills",534,2021-07-02,"Fri",NA,"Bostwick to Truman"
185,"Fairy Creek","Fairy Creek",500,2021-07-04,"Sun",NA,"Fairy Creek"
186,"Fairy Lakeshore","Fairy Lakeshore",499,2021-07-05,"Mon",NA,"Fairy Lakeshore"
187,"Jones to Ross Pass","Bridger Foothills",534,2021-07-06,"Tue",NA,"Jones to Ross Pass"
189,"Ross Pass","Ross Pass",551,2021-07-08,"Thu",NA,"Ross Pass"
190,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-07-09,"Fri",NA,"Fairy Lake Shortcut"
191,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-07-10,"Sat",NA,"Johnson Canyon Jeep Trail"
193,"Lower Shafthouse","Shafthouse Hill",540,2021-07-12,"Mon",NA,"Lower Shafthouse"
194,"North Cottonwood to Ridge","North Cottonwood",545,2021-07-13,"Tue",NA,"North Cottonwood to Ridge"
196,"Bridger to Ross Pass","Bridger Ridge",513,2021-07-15,"Thu",NA,"Bridger to Ross Pass"
197,"Carroll Creek","Carroll Creek",527,2021-07-16,"Fri",NA,"Carroll Creek"
198,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-07-17,"Sat",NA,"Flathead Pass Rd"
201,"East Bridger South","East Bridger South",538,2021-07-20,"Tue",NA,"East Bridger South"
202,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-07-21,"Wed",NA,"Ross Pass to Sacagawea Pass"
203,"Raptor View","Raptor View",530,2021-07-22,"Thu",NA,"Raptor View"
204,"Upper Brackett Creek","Upper Brackett Creek",526,2021-07-23,"Fri",NA,"Upper Brackett Creek"
205,"Truman to Jones","Bridger Foothills",534,2021-07-24,"Sat",NA,"Truman to Jones"
214,"East Bridger North","East Bridger North",539,2021-08-02,"Mon",NA,"East Bridger North"
217,"North Cottonwood Access","North Cottonwood Access",546,2021-08-05,"Thu",NA,"North Cottonwood Access"
219,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-08-07,"Sat",NA,"North Cottonwood to Johnson Canyon"
222,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-08-10,"Tue",NA,"Felix Canyon Rd"
223,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-08-11,"Wed",NA,"Sypes to Middle Cottonwood"
224,"Bostwick to Truman","Bridger Foothills",534,2021-08-12,"Thu",NA,"Bostwick to Truman"
226,"Fairy Creek","Fairy Creek",500,2021-08-14,"Sat",NA,"Fairy Creek"
228,"Jones to Ross Pass","Bridger Foothills",534,2021-08-16,"Mon",NA,"Jones to Ross Pass"
230,"Ross Pass","Ross Pass",551,2021-08-18,"Wed",NA,"Ross Pass"
231,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-08-19,"Thu",NA,"Fairy Lake Shortcut"
232,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-08-20,"Fri",NA,"Johnson Canyon Jeep Trail"
234,"Lower Shafthouse","Shafthouse Hill",540,2021-08-22,"Sun",NA,"Lower Shafthouse"
235,"North Cottonwood to Ridge","North Cottonwood",545,2021-08-23,"Mon",NA,"North Cottonwood to Ridge"
236,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-08-24,"Tue",NA,"Ross Pass to Sacagawea Peak"
238,"Carroll Creek","Carroll Creek",527,2021-08-26,"Thu",NA,"Carroll Creek"
239,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-08-27,"Fri",NA,"Flathead Pass Rd"
240,"Upper Shafthouse","Shafthouse Hill",540,2021-08-28,"Sat",NA,"Upper Shafthouse"
242,"East Bridger South","East Bridger South",538,2021-08-30,"Mon",NA,"East Bridger South"
243,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-08-31,"Tue",NA,"Ross Pass to Sacagawea Pass"
244,"Raptor View","Raptor View",530,2021-09-01,"Wed",NA,"Raptor View"
245,"Upper Brackett Creek","Upper Brackett Creek",526,2021-09-02,"Thu",NA,"Upper Brackett Creek"
246,"Truman to Jones","Bridger Foothills",534,2021-09-03,"Fri",NA,"Truman to Jones"
249,"College M to Sypes","Bridger Foothills",534,2021-09-06,"Mon",NA,"College M to Sypes"
251,"M to Baldy","Bridger Ridge",513,2021-09-08,"Wed",NA,"M to Baldy"
252,"M shortcut","M shortcut",512,2021-09-09,"Thu",NA,"M shortcut"
256,"Truman Gulch","Truman Gulch",535,2021-09-13,"Mon",NA,"Truman Gulch"
257,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-09-14,"Tue",NA,"Middle Cottonwood to Bostwick"
258,"North Cottonwood Access","North Cottonwood Access",546,2021-09-15,"Wed",NA,"North Cottonwood Access"
259,"New World Gulch","New World Gulch",50,2021-09-16,"Thu",NA,"New World Gulch"
260,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-09-17,"Fri",NA,"North Cottonwood to Johnson Canyon"
263,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-09-20,"Mon",NA,"Felix Canyon Rd"
264,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-09-21,"Tue",NA,"Sypes to Middle Cottonwood"
265,"Bostwick to Truman","Bridger Foothills",534,2021-09-22,"Wed",NA,"Bostwick to Truman"
266,"Baldy to Bridger","Bridger Ridge",513,2021-09-23,"Thu",NA,"Baldy to Bridger"
267,"Fairy Creek","Fairy Creek",500,2021-09-24,"Fri",NA,"Fairy Creek"
270,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-09-27,"Mon",NA,"Sacagawea Peak to Sacagawea Pass"
271,"Ross Pass","Ross Pass",551,2021-09-28,"Tue",NA,"Ross Pass"
272,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-09-29,"Wed",NA,"Fairy Lake Shortcut"
273,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-09-30,"Thu",NA,"Johnson Canyon Jeep Trail"
274,"Sacagawea Pass","Sacagawea Pass",518,2021-10-01,"Fri",NA,"Sacagawea Pass"
275,"Lower Shafthouse","Shafthouse Hill",540,2021-10-02,"Sat",NA,"Lower Shafthouse"
276,"North Cottonwood to Ridge","North Cottonwood",545,2021-10-03,"Sun",NA,"North Cottonwood to Ridge"
277,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-10-04,"Mon",NA,"Ross Pass to Sacagawea Peak"
278,"Bridger to Ross Pass","Bridger Ridge",513,2021-10-05,"Tue",NA,"Bridger to Ross Pass"
279,"Carroll Creek","Carroll Creek",527,2021-10-06,"Wed",NA,"Carroll Creek"
280,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-10-07,"Thu",NA,"Flathead Pass Rd"
281,"Upper Shafthouse","Shafthouse Hill",540,2021-10-08,"Fri",NA,"Upper Shafthouse"
282,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-10-09,"Sat",NA,"S Fork Brackett Creek"
283,"East Bridger South","East Bridger South",538,2021-10-10,"Sun",NA,"East Bridger South"
284,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-10-11,"Mon",NA,"Ross Pass to Sacagawea Pass"
285,"Raptor View","Raptor View",530,2021-10-12,"Tue",NA,"Raptor View"
286,"Upper Brackett Creek","Upper Brackett Creek",526,2021-10-13,"Wed",NA,"Upper Brackett Creek"
287,"Truman to Jones","Bridger Foothills",534,2021-10-14,"Thu",NA,"Truman to Jones"
288,"College M","College M",511,2021-10-15,"Fri",NA,"College M"
289,"College M","Bridger Foothills",534,2021-10-16,"Sat",NA,"College M"
291,"Steep Way","Bridger Ridge",513,2021-10-18,"Mon",NA,"Steep Way"
292,"M to Baldy","Bridger Ridge",513,2021-10-19,"Tue",NA,"M to Baldy"
293,"M shortcut","M shortcut",512,2021-10-20,"Wed",NA,"M shortcut"
294,"Sypes Canyon","Sypes Canyon",531,2021-10-21,"Thu",NA,"Sypes Canyon"
295,"Middle Cottonwood","Middle Cottonwood",586,2021-10-22,"Fri",NA,"Middle Cottonwood"
296,"East Bridger North","East Bridger North",539,2021-10-23,"Sat",NA,"East Bridger North"
297,"Truman Gulch","Truman Gulch",535,2021-10-24,"Sun",NA,"Truman Gulch"
298,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-10-25,"Mon",NA,"Middle Cottonwood to Bostwick"
299,"North Cottonwood Access","North Cottonwood Access",546,2021-10-26,"Tue",NA,"North Cottonwood Access"
300,"New World Gulch","New World Gulch",50,2021-10-27,"Wed",NA,"New World Gulch"
301,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-10-28,"Thu",NA,"North Cottonwood to Johnson Canyon"
302,"Bridger","Bridger Ridge",513,2021-10-29,"Fri",NA,"Bridger"
304,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-10-31,"Sun",NA,"Felix Canyon Rd"
305,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-11-01,"Mon",NA,"Sypes to Middle Cottonwood"
306,"Bostwick to Truman","Bridger Foothills",534,2021-11-02,"Tue",NA,"Bostwick to Truman"
307,"Baldy to Bridger","Bridger Ridge",513,2021-11-03,"Wed",NA,"Baldy to Bridger"
308,"Fairy Creek","Fairy Creek",500,2021-11-04,"Thu",NA,"Fairy Creek"
309,"Fairy Lakeshore","Fairy Lakeshore",499,2021-11-05,"Fri",NA,"Fairy Lakeshore"
310,"Jones to Ross Pass","Bridger Foothills",534,2021-11-06,"Sat",NA,"Jones to Ross Pass"
311,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-11-07,"Sun",NA,"Sacagawea Peak to Sacagawea Pass"
312,"Ross Pass","Ross Pass",551,2021-11-08,"Mon",NA,"Ross Pass"
313,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-11-09,"Tue",NA,"Fairy Lake Shortcut"
314,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-11-10,"Wed",NA,"Johnson Canyon Jeep Trail"
315,"Sacagawea Pass","Sacagawea Pass",518,2021-11-11,"Thu",NA,"Sacagawea Pass"
316,"Lower Shafthouse","Shafthouse Hill",540,2021-11-12,"Fri",NA,"Lower Shafthouse"
317,"North Cottonwood to Ridge","North Cottonwood",545,2021-11-13,"Sat",NA,"North Cottonwood to Ridge"
318,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-11-14,"Sun",NA,"Ross Pass to Sacagawea Peak"
319,"Bridger to Ross Pass","Bridger Ridge",513,2021-11-15,"Mon",NA,"Bridger to Ross Pass"
320,"Carroll Creek","Carroll Creek",527,2021-11-16,"Tue",NA,"Carroll Creek"
321,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-11-17,"Wed",NA,"Flathead Pass Rd"
322,"Upper Shafthouse","Shafthouse Hill",540,2021-11-18,"Thu",NA,"Upper Shafthouse"
323,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-11-19,"Fri",NA,"S Fork Brackett Creek"
324,"East Bridger South","East Bridger South",538,2021-11-20,"Sat",NA,"East Bridger South"
325,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-11-21,"Sun",NA,"Ross Pass to Sacagawea Pass"
326,"Raptor View","Raptor View",530,2021-11-22,"Mon",NA,"Raptor View"
327,"Upper Brackett Creek","Upper Brackett Creek",526,2021-11-23,"Tue",NA,"Upper Brackett Creek"
328,"Truman to Jones","Bridger Foothills",534,2021-11-24,"Wed",NA,"Truman to Jones"
329,"College M","College M",511,2021-11-25,"Thu",NA,"College M"
330,"College M","Bridger Foothills",534,2021-11-26,"Fri",NA,"College M"
331,"College M to Sypes","Bridger Foothills",534,2021-11-27,"Sat",NA,"College M to Sypes"
332,"Steep Way","Bridger Ridge",513,2021-11-28,"Sun",NA,"Steep Way"
333,"M to Baldy","Bridger Ridge",513,2021-11-29,"Mon",NA,"M to Baldy"
334,"M shortcut","M shortcut",512,2021-11-30,"Tue",NA,"M shortcut"
335,"Sypes Canyon","Sypes Canyon",531,2021-12-01,"Wed",NA,"Sypes Canyon"
336,"Middle Cottonwood","Middle Cottonwood",586,2021-12-02,"Thu",NA,"Middle Cottonwood"
337,"East Bridger North","East Bridger North",539,2021-12-03,"Fri",NA,"East Bridger North"
339,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-12-05,"Sun",NA,"Middle Cottonwood to Bostwick"
340,"North Cottonwood Access","North Cottonwood Access",546,2021-12-06,"Mon",NA,"North Cottonwood Access"
341,"New World Gulch","New World Gulch",50,2021-12-07,"Tue",NA,"New World Gulch"
