edgeUID,osmId,TrailNumber,TrailName,Subsection,Segment_with_trail_counter,Include,Notes
348371435,63942066,542,S Fork Flathead Creek,,0,1,Tara
348370097,809978702,530,Raptor View,,0,1,Tara
348371423,1010343006,523,Horsethief Mountain,,0,1,Tara
348371309,39077884,542,S Fork Flathead Creek,,0,1,Tara
348371430,1010343006,523,Horsethief Mountain,,0,1,Tara
348371253,256661237,518,Sacagawea Pass,,0,1,Tara
348371419,1010343006,523,Horsethief Mountain,,0,1,Tara
348370091,1010343002,530,Raptor View,,0,1,Tara
348370102,1010343000,539,E Bridger North,,0,1,Tara
348371345,5534638,540,Shafthouse Hill,Lower Shafthouse,0,1,Tara
348371409,1010343006,523,Horsethief Mountain,,0,1,Tara
348371303,63942066,542,S Fork Flathead Creek,,0,1,Tara
348370079,1010342996,530,Raptor View,,0,1,Tara
348371291,39077884,542,S Fork Flathead Creek,,0,1,Tara
348370594,129611845,537,Bridger Bowl,,0,1,Tara
348370862,39516185,500,Fairy Creek,,0,1,Tara
348371244,1010343013,545,North Cottonwood,Upper North Cottonwood to Ridge,0,1,Tara
348370631,809976814,538,E Bridger South,,0,1,Tara
348370057,1010342989,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Tara
348370678,810046692,539,E Bridger North,,0,0,
348370081,833615845,513,Bridger Ridge,Bridger,0,1,Tara
348370085,1010342981,530,Raptor View,,0,1,Tara
348370639,436148551,538,E Bridger South,,0,1,Tara
348371391,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456981,39084420,527,Carrol Creek,,0,1,Tara
237456967,256661236,513,Bridger Ridge,Sacagawea Peak to Sacagawea Pass,0,1,Tara
237457045,5549478,523,Horsethief Mountain,,0,1,Tara
237455995,164274646,512,M shortcut,,0,1,Tara
237456565,129611845,538,E Bridger South,,0,1,Tara
237456953,619915838,546,North Cottonwood Access,,0,0,
237455980,72120000,534,Bridger Foothills,College M,0,1,Tara
237456959,5548509,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456983,39084420,527,Carrol Creek,,0,1,Tara
237456997,39077884,542,S Fork Flathead Creek,,0,1,Tara
237456961,5552570,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237455999,164274648,513,Bridger Ridge,M to Baldy,0,1,Tara
237457032,5549015,2514,Felix Canyon Rd,,0,1,Tara
237456046,164274648,513,Bridger Ridge,M to Baldy,0,1,Tara
237457052,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456978,39084420,527,Carrol Creek,,0,1,Tara
237456995,39077884,542,S Fork Flathead Creek,,0,1,Tara
237456960,5547987,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456048,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Tara
237457013,39077885,6984,Benchmark Road,,0,1,Tara
237456564,436148556,538,E Bridger South,,0,1,Tara
237457011,39077885,6984,Benchmark Road,,0,1,Tara
237456680,5548407,539,E Bridger North,,0,1,Tara
237456217,5553005,544,Corbly Gulch,,0,1,Tara
237456044,164274648,513,Bridger Ridge,M to Baldy,0,1,Tara
237456043,301419386,586,Middle Cottonwood,,0,1,Tara
237455994,304462179,511,College M,,0,0,Popular way from intersection w/foothills trail to shortcut
237457009,39084419,6984,Benchmark Road,,0,1,Tara
237457017,39084419,6984,Benchmark Road,,0,1,Tara
237456576,5549431,538,E Bridger South,,0,1,Tara
237457035,5549183,2514,Felix Canyon Rd,,0,1,Tara
237456973,39516446,500,Fairy Creek,,0,1,Tara
237457000,39084419,6984,Benchmark Road,,0,1,Tara
237455996,164274647,513,Bridger Ridge,Steep Way,0,1,Tara
237456992,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456539,5549653,538,E Bridger South,,0,1,Tara
237456957,5548509,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456954,619915840,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,Tara
237455990,72120000,511,Bridger Foothills,College M,0,1,Tara
237456966,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237457008,39084419,6984,Benchmark Road,,0,1,Tara
237456252,39516447,500,Fairy Creek,,0,1,Tara
237455997,304462179,511,College M,,0,1,Tara
237456045,164274659,531,Sypes Canyon,,0,1,Tara
237456249,39749581,551,Ross Pass,,0,1,Tara
237456962,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456975,428111326,501,Fairy Lake Shortcut,,0,1,Tara
237456955,619915839,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,Tara
237457003,39077884,542,S Fork Flathead Creek,,0,1,Tara
237457001,39077884,542,S Fork Flathead Creek,,0,1,Tara
237457039,5548547,2514,Felix Canyon Rd,,0,1,Tara
237457034,5548547,2514,Felix Canyon Rd,,0,1,Tara
237456971,256661237,518,Sacagawea Pass,,0,1,Tara
237456000,356310875,513,Bridger Ridge,Steep Way,0,1,Tara
237457023,5548557,2514,Felix Canyon Rd,,0,1,Tara
237456042,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,Tara
237456706,39516185,500,Fairy Creek,,0,1,Tara
237457041,136050661,523,Horsethief Mountain,,0,1,Tara
237456540,5548016,538,E Bridger South,,0,1,Tara
237455981,164274647,513,Bridger Ridge,Steep Way,0,1,Tara
237455993,72120000,511,Bridger Foothills,College M,0,1,Tara
237456247,63942068,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,Tara
237457050,63942066,542,S Fork Flathead Creek,,0,1,Tara
237457016,39084420,527,Carrol Creek,,0,1,Tara
237456009,304462180,531,Sypes Canyon,,0,1,Tara
237456538,5549653,538,E Bridger South,,0,1,Tara
237456963,5548510,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456993,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456979,371586380,500,Fairy Creek,,0,1,Tara
237456675,376539976,539,E Bridger North,,0,1,Tara
237456674,63942062,539,E Bridger North,,0,1,Tara
237455998,576012337,511,College M,,0,1,Tara
237456218,5549298,544,Corbly Gulch,,0,1,Tara
237457130,5534638,540,Shafthouse Hill,Lower Shafthouse,0,1,Tara
237457051,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456248,63942068,513,Bridger Ridge,Bridger to Ross Pass,0,1,Tara
237456008,72120000,534,Bridger Foothills,College M to Sypes,0,1,Tara
348370398,5549653,538,E Bridger South,,0,1,Tara
348370392,5548004,538,E Bridger South,,0,1,Tara
348370396,5549653,538,E Bridger South,,0,1,Tara
348370391,5548004,538,E Bridger South,,0,1,Tara
348369839,5548462,538,E Bridger South,,0,1,Tara
348370394,1010342980,538,E Bridger South,,0,1,Tara
348370585,5549653,538,E Bridger South,,0,1,Tara
348370364,5548159,538,E Bridger South,,0,1,Tara
348370395,1010342993,538,E Bridger South,,0,1,Tara
348370582,5549653,538,E Bridger South,,0,1,Tara
348369840,5548462,538,E Bridger South,,0,1,Tara
348370399,5549075,538,E Bridger South,,0,1,Tara
348370397,5549075,538,E Bridger South,,0,1,Tara
348370393,5549653,538,E Bridger South,,0,1,Tara
237456448,5549075,538,E Bridger South,,0,1,Tara
237456536,5549653,538,E Bridger South,,0,1,Tara
237456445,5548004,538,E Bridger South,,0,1,Tara
237456049,5548462,538,E Bridger South,,0,1,Tara
237456447,5549653,538,E Bridger South,,0,1,Tara
237456446,5548004,538,E Bridger South,,0,1,Tara
